subcohort,scenario,n_subcohort,p_A,p_B,delta,ci_low,ci_high,p_value,p_adj,p_A_pct,p_B_pct,delta_pp,ci_low_pp,ci_high_pp
HighStress_<5h,Sleep,2835,0.2512000005759948,0.2507241581496038,-0.0004758424263909822,-0.0004999598044079831,-0.00045103397660726797,0.0,0.0,25.12000005759948,25.07241581496038,-0.04758424263909822,-0.0499959804407983,-0.045103397660726796
HighStress_<5h,Stress,2835,0.2512000005759948,0.250769679285105,-0.000430321290889768,-0.00045246509574830494,-0.0004091148860048098,0.0,0.0,25.12000005759948,25.076967928510502,-0.0430321290889768,-0.04524650957483049,-0.04091148860048098
HighStress_<5h,Sleep+Stress,2835,0.2512000005759948,0.25029403672518,-0.0009059638508147616,-0.0009525573722605318,-0.0008606916273506404,0.0,0.0,25.12000005759948,25.029403672518,-0.09059638508147616,-0.09525573722605318,-0.08606916273506404
HighStress_<5h,Social,2835,0.2512000005759948,0.2513155082543655,0.00011550767837070763,0.00010733454687589655,0.00012439209102330372,0.0,0.0,25.12000005759948,25.13155082543655,0.011550767837070763,0.010733454687589655,0.012439209102330371
HighStress_<5h,Activity,2835,0.2512000005759948,0.25119124520109215,-8.755374902635893e-06,-1.6636035792558927e-05,-1.0229079189960655e-06,0.028,0.028,25.12000005759948,25.119124520109214,-0.0008755374902635893,-0.0016636035792558926,-0.00010229079189960656
HighStress_Young,Sleep,4250,0.2512000005759948,0.2512704793440516,7.047876805682529e-05,5.2969564068856836e-05,8.895837015482216e-05,0.0,0.0,25.12000005759948,25.127047934405162,0.007047876805682529,0.005296956406885683,0.008895837015482216
HighStress_Young,Stress,4250,0.2512000005759948,0.25056031194718603,-0.0006396886288087544,-0.0006662752446371392,-0.0006136979733945586,0.0,0.0,25.12000005759948,25.056031194718603,-0.06396886288087544,-0.06662752446371392,-0.06136979733945586
HighStress_Young,Sleep+Stress,4250,0.2512000005759948,0.25063086643648413,-0.000569134139510652,-0.0005987069253379079,-0.0005421074096183378,0.0,0.0,25.12000005759948,25.063086643648415,-0.056913413951065195,-0.05987069253379079,-0.05421074096183379
HighStress_Young,Social,4250,0.2512000005759948,0.25136490832966896,0.00016490775367417054,0.00015555149468649484,0.00017478228325934486,0.0,0.0,25.12000005759948,25.136490832966896,0.016490775367417054,0.015555149468649485,0.017478228325934486
HighStress_Young,Activity,4250,0.2512000005759948,0.2511807803167273,-1.922025926748283e-05,-2.860606550966066e-05,-1.0227508976916322e-05,0.0,0.0,25.12000005759948,25.11807803167273,-0.001922025926748283,-0.002860606550966066,-0.0010227508976916322
Work>70h,Sleep,9854,0.2512000005759948,0.25133817464230024,0.00013817406630545204,0.00011092302188821929,0.00016610827914354808,0.0,0.0,25.12000005759948,25.133817464230024,0.013817406630545204,0.011092302188821929,0.01661082791435481
Work>70h,Stress,9854,0.2512000005759948,0.2509295525340773,-0.0002704480419175037,-0.00029428028240498645,-0.00024401210944456977,0.0,0.0,25.12000005759948,25.092955253407727,-0.02704480419175037,-0.029428028240498644,-0.024401210944456977
Work>70h,Sleep+Stress,9854,0.2512000005759948,0.2510677462368457,-0.000132254339149096,-0.00017046664921816778,-9.37458520501408e-05,0.0,0.0,25.12000005759948,25.10677462368457,-0.013225433914909601,-0.01704666492181678,-0.00937458520501408
Work>70h,Social,9854,0.2512000005759948,0.2515782376781233,0.00037823710212853134,0.00036347551788341246,0.0003927016841061143,0.0,0.0,25.12000005759948,25.15782376781233,0.037823710212853134,0.036347551788341245,0.03927016841061143
Work>70h,Activity,9854,0.2512000005759948,0.2511834735311834,-1.6527044811365244e-05,-2.973755906824638e-05,-1.934447080700897e-06,0.024,0.024,25.12000005759948,25.11834735311834,-0.0016527044811365244,-0.0029737559068246378,-0.0001934447080700897
UnknownSeverity,Sleep,25002,0.2512000005759948,0.2515813205664059,0.00038131999041113307,0.0003335123111127186,0.00042568020867371004,0.0,0.0,25.12000005759948,25.158132056640593,0.03813199904111331,0.03335123111127186,0.042568020867371006
UnknownSeverity,Stress,25002,0.2512000005759948,0.25046997183771963,-0.0007300287382751569,-0.0007709137364758867,-0.0006873461036081052,0.0,0.0,25.12000005759948,25.046997183771964,-0.07300287382751569,-0.07709137364758867,-0.06873461036081052
UnknownSeverity,Sleep+Stress,25002,0.2512000005759948,0.2508513824909588,-0.000348618085036001,-0.00040691421331340153,-0.00028452524445466424,0.0,0.0,25.12000005759948,25.085138249095877,-0.0348618085036001,-0.040691421331340155,-0.028452524445466424
UnknownSeverity,Social,25002,0.2512000005759948,0.2521594712937951,0.000959470717800337,0.0009365498814941948,0.0009812009957240366,0.0,0.0,25.12000005759948,25.21594712937951,0.0959470717800337,0.09365498814941947,0.09812009957240367
UnknownSeverity,Activity,25002,0.2512000005759948,0.25115435874814507,-4.5641827849718375e-05,-6.701631978015544e-05,-2.2020773294997852e-05,0.0,0.0,25.12000005759948,25.11543587481451,-0.0045641827849718375,-0.006701631978015544,-0.0022020773294997853
