scenario,Sleep,Stress,Social,Activity,p_A,p_B,delta,ci_low,ci_high,p_value,p_adj,delta_pp,ci_low_pp,ci_high_pp
Baseline,0,0,0,0,0.2512000005759948,0.2512000005759948,0.0,0.0,0.0,1.0,,0.0,0.0,0.0
Activity,0,0,0,1,0.2512000005759948,0.2511037365455128,-9.626403048196286e-05,-0.00013093387938609702,-6.185624179268074e-05,0.0,0.0,-0.009626403048196286,-0.013093387938609702,-0.006185624179268074
Social,0,0,1,0,0.2512000005759948,0.25313305725804075,0.0019330566820459638,0.0019031139385574125,0.001962658010392175,0.0,0.0,0.19330566820459638,0.19031139385574125,0.19626580103921748
Social+Activity,0,0,1,1,0.2512000005759948,0.2530369543521477,0.0018369537761528942,0.0017949814710685754,0.0018805626158703488,0.0,0.0,0.18369537761528942,0.17949814710685755,0.18805626158703487
Stress,0,1,0,0,0.2512000005759948,0.24979475682885785,-0.0014052437471369361,-0.0014667626196537956,-0.0013465926647286402,0.0,0.0,-0.1405243747136936,-0.14667626196537956,-0.13465926647286403
Stress+Activity,0,1,0,1,0.2512000005759948,0.24969835683918856,-0.001501643736806224,-0.0015631499366528605,-0.0014360191730511812,0.0,0.0,-0.1501643736806224,-0.15631499366528606,-0.14360191730511812
Stress+Social,0,1,1,0,0.2512000005759948,0.2517280549312922,0.0005280543552974026,0.00046299488069168336,0.0005861068626973803,0.0,0.0,0.05280543552974026,0.04629948806916834,0.05861068626973803
Stress+Social+Activity,0,1,1,1,0.2512000005759948,0.2516317996375871,0.0004317990615922973,0.00036828134972849007,0.0004974986700102434,0.0,0.0,0.04317990615922973,0.03682813497284901,0.049749867001024344
Sleep,1,0,0,0,0.2512000005759948,0.2519619143030122,0.0007619137270173937,0.0006993913519335995,0.0008259071337185494,0.0,0.0,0.07619137270173937,0.06993913519335995,0.08259071337185495
Sleep+Activity,1,0,0,1,0.2512000005759948,0.2518657199879781,0.0006657194119832899,0.0005971316042928416,0.0007388123849975198,0.0,0.0,0.06657194119832899,0.05971316042928416,0.07388123849975198
Sleep+Social,1,0,1,0,0.2512000005759948,0.2538948673345307,0.0026948667585359187,0.002622436785278419,0.0027658535190099006,0.0,0.0,0.2694866758535919,0.26224367852784186,0.27658535190099004
Sleep+Social+Activity,1,0,1,1,0.2512000005759948,0.2537988432894965,0.0025988427135016923,0.002526474357393087,0.002677713918144459,0.0,0.0,0.2598842713501692,0.2526474357393087,0.26777139181444587
Sleep+Stress,1,1,0,0,0.2512000005759948,0.2505568508896166,-0.000643149686378186,-0.0007247172823717334,-0.000559697032434725,0.0,0.0,-0.0643149686378186,-0.07247172823717334,-0.0559697032434725
Sleep+Stress+Activity,1,1,0,1,0.2512000005759948,0.25046051956702603,-0.0007394810089687565,-0.0008310794535529339,-0.0006504771367401719,0.0,0.0,-0.07394810089687565,-0.0831079453552934,-0.0650477136740172
Sleep+Stress+Social,1,1,1,0,0.2512000005759948,0.25249010205001327,0.001290101474018479,0.0012039645014399914,0.0013840938498281426,0.0,0.0,0.1290101474018479,0.12039645014399913,0.13840938498281427
Sleep+Stress+Social+Activity,1,1,1,1,0.2512000005759948,0.2523939246105378,0.0011939240345429925,0.0010991514951753684,0.0012880496354353635,0.0,0.0,0.11939240345429925,0.10991514951753684,0.12880496354353635
