cluster_k4,Gender,prop,Country,Stress_Level,Severity_filled
0,Prefer not to say,0.25208938953488375,,,
0,Non-binary,0.25036337209302323,,,
0,Female,0.25027252906976744,,,
1,Female,0.2543532877068353,,,
1,Prefer not to say,0.25166767738023044,,,
1,Non-binary,0.24785584336827515,,,
2,Female,0.25898807075277663,,,
2,Prefer not to say,0.25314685314685315,,,
2,Male,0.2469765528589058,,,
3,Male,0.2555250425003269,,,
3,Prefer not to say,0.24852883483719104,,,
3,Female,0.2480711390087616,,,
0,,0.1537063953488372,India,,
0,,0.1464389534883721,USA,,
0,,0.1438953488372093,Canada,,
1,,0.14554275318374774,USA,,
1,,0.14441652949839728,India,,
1,,0.14381010136013167,Canada,,
2,,0.14709995886466476,Germany,,
2,,0.14496092143150965,USA,,
2,,0.1448786507610037,India,,
3,,0.14561265855891198,Other,,
3,,0.14495880737544134,USA,,
3,,0.14404341571858245,India,,
0,,0.34484011627906974,,High,
0,,0.3391170058139535,,Medium,
0,,0.31604287790697677,,Low,
1,,0.33708741228450145,,Medium,
1,,0.33396863900199253,,High,
1,,0.328943948713506,,Low,
2,,0.3413410119292472,,Medium,
2,,0.3316330728095434,,Low,
2,,0.3270259152612094,,High,
3,,0.33601412318556295,,Low,
3,,0.33222178632143323,,High,
3,,0.3317640904930038,,Medium,
0,,0.5026344476744186,,,Unknown
0,,0.16951308139534885,,,Medium
0,,0.16560683139534885,,,Low
1,,0.4961448496924543,,,Unknown
1,,0.16962661353201075,,,Medium
1,,0.16737416616130987,,,High
2,,0.5048128342245989,,,Unknown
2,,0.16832579185520363,,,Medium
2,,0.16429452900041136,,,High
3,,0.49731921014777036,,,Unknown
3,,0.16908591604550804,,,High
3,,0.16777821367856677,,,Medium
